date,repository,site,plugins
2024-04-06,awesome-neovim,codeberg.org,2
2024-04-06,awesome-neovim,git.sr.ht,6
2024-04-06,awesome-neovim,github.com,838
2024-04-06,awesome-neovim,gitlab.com,2
2024-04-06,awesome-neovim,total,848
2024-04-06,extra,codeberg.org,2
2024-04-06,extra,git.sr.ht,5
2024-04-06,extra,github.com,540
2024-04-06,extra,gitlab.com,2
2024-04-06,extra,total,549
2024-04-06,nixpkgs,git.sr.ht,3
2024-04-06,nixpkgs,github.com,1420
2024-04-06,nixpkgs,gitlab.com,2
2024-04-06,nixpkgs,total,1425
2024-04-07,awesome-neovim,codeberg.org,2
2024-04-07,awesome-neovim,git.sr.ht,6
2024-04-07,awesome-neovim,github.com,838
2024-04-07,awesome-neovim,gitlab.com,2
2024-04-07,awesome-neovim,total,848
2024-04-07,extra,codeberg.org,2
2024-04-07,extra,git.sr.ht,5
2024-04-07,extra,github.com,540
2024-04-07,extra,gitlab.com,2
2024-04-07,extra,total,549
2024-04-07,nixpkgs,git.sr.ht,3
2024-04-07,nixpkgs,github.com,1420
2024-04-07,nixpkgs,gitlab.com,2
2024-04-07,nixpkgs,total,1425
2024-04-08,awesome-neovim,codeberg.org,2
2024-04-08,awesome-neovim,git.sr.ht,6
2024-04-08,awesome-neovim,github.com,838
2024-04-08,awesome-neovim,gitlab.com,2
2024-04-08,awesome-neovim,total,848
2024-04-08,extra,codeberg.org,2
2024-04-08,extra,git.sr.ht,5
2024-04-08,extra,github.com,540
2024-04-08,extra,gitlab.com,2
2024-04-08,extra,total,549
2024-04-08,nixpkgs,git.sr.ht,3
2024-04-08,nixpkgs,github.com,1420
2024-04-08,nixpkgs,gitlab.com,2
2024-04-08,nixpkgs,total,1425
2024-04-09,awesome-neovim,codeberg.org,2
2024-04-09,awesome-neovim,git.sr.ht,6
2024-04-09,awesome-neovim,github.com,838
2024-04-09,awesome-neovim,gitlab.com,2
2024-04-09,awesome-neovim,total,848
2024-04-09,extra,codeberg.org,2
2024-04-09,extra,git.sr.ht,5
2024-04-09,extra,github.com,539
2024-04-09,extra,gitlab.com,2
2024-04-09,extra,total,548
2024-04-09,nixpkgs,git.sr.ht,3
2024-04-09,nixpkgs,github.com,1421
2024-04-09,nixpkgs,gitlab.com,2
2024-04-09,nixpkgs,total,1426
2024-04-10,awesome-neovim,codeberg.org,2
2024-04-10,awesome-neovim,git.sr.ht,6
2024-04-10,awesome-neovim,github.com,838
2024-04-10,awesome-neovim,gitlab.com,2
2024-04-10,awesome-neovim,total,848
2024-04-10,extra,codeberg.org,2
2024-04-10,extra,git.sr.ht,5
2024-04-10,extra,github.com,539
2024-04-10,extra,gitlab.com,2
2024-04-10,extra,total,548
2024-04-10,nixpkgs,git.sr.ht,3
2024-04-10,nixpkgs,github.com,1422
2024-04-10,nixpkgs,gitlab.com,2
2024-04-10,nixpkgs,total,1427
2024-04-11,awesome-neovim,codeberg.org,2
2024-04-11,awesome-neovim,git.sr.ht,6
2024-04-11,awesome-neovim,github.com,838
2024-04-11,awesome-neovim,gitlab.com,2
2024-04-11,awesome-neovim,total,848
2024-04-11,extra,codeberg.org,2
2024-04-11,extra,git.sr.ht,5
2024-04-11,extra,github.com,538
2024-04-11,extra,gitlab.com,2
2024-04-11,extra,total,547
2024-04-11,nixpkgs,git.sr.ht,3
2024-04-11,nixpkgs,github.com,1423
2024-04-11,nixpkgs,gitlab.com,2
2024-04-11,nixpkgs,total,1428
2024-04-12,awesome-neovim,codeberg.org,2
2024-04-12,awesome-neovim,git.sr.ht,6
2024-04-12,awesome-neovim,github.com,838
2024-04-12,awesome-neovim,gitlab.com,2
2024-04-12,awesome-neovim,total,848
2024-04-12,extra,codeberg.org,2
2024-04-12,extra,git.sr.ht,5
2024-04-12,extra,github.com,538
2024-04-12,extra,gitlab.com,2
2024-04-12,extra,total,547
2024-04-12,nixpkgs,git.sr.ht,3
2024-04-12,nixpkgs,github.com,1423
2024-04-12,nixpkgs,gitlab.com,2
2024-04-12,nixpkgs,total,1428
2024-04-13,awesome-neovim,codeberg.org,2
2024-04-13,awesome-neovim,git.sr.ht,6
2024-04-13,awesome-neovim,github.com,837
2024-04-13,awesome-neovim,gitlab.com,2
2024-04-13,awesome-neovim,total,847
2024-04-13,extra,codeberg.org,2
2024-04-13,extra,git.sr.ht,5
2024-04-13,extra,github.com,537
2024-04-13,extra,gitlab.com,2
2024-04-13,extra,total,546
2024-04-13,nixpkgs,git.sr.ht,3
2024-04-13,nixpkgs,github.com,1423
2024-04-13,nixpkgs,gitlab.com,2
2024-04-13,nixpkgs,total,1428
2024-04-14,awesome-neovim,codeberg.org,2
2024-04-14,awesome-neovim,git.sr.ht,6
2024-04-14,awesome-neovim,github.com,836
2024-04-14,awesome-neovim,gitlab.com,2
2024-04-14,awesome-neovim,total,846
2024-04-14,extra,codeberg.org,2
2024-04-14,extra,git.sr.ht,5
2024-04-14,extra,github.com,534
2024-04-14,extra,gitlab.com,2
2024-04-14,extra,total,543
2024-04-14,nixpkgs,git.sr.ht,3
2024-04-14,nixpkgs,github.com,1424
